Nome,Classe,CNPJ,Pais Sede,Ativo /|Cancelado,ID da|empresa,Setor NAICS|ult disponiv,Setor|Economática,Tipo de Ativo,Bolsa,Código,ISIN,Meses|Dez 2011|no exercício|consolid:sim*,Ativo Tot|Dez 2011|em moeda orig|em milhares|consolid:sim*,Patrim Liq|Dez 2011|em moeda orig|em milhares|consolid:sim*,Receita|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Lucro Bruto|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Lucro Liq|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Moeda dos|Balanços,Qtd Ações|Outstanding|da empresa|em milhares|31Dez11,LPA|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,VPA|Dez 2011|em moeda orig|consolid:sim*|ajust p/ prov,Vendas/Acao|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,Divid por Ação|31Dez11|1 anos|em moeda orig,Div Yld (fim)|31Dez11|no Ano|em moeda orig,Div Yld (inic)|31Dez11|1 anos|em moeda orig,PrinAcion|31/12/2011|1.Maior|Sem Voto,%AcPoss|31/12/2011|1.Maior|Sem Voto,PrinAcion|31/12/2011|2.Maior|Sem Voto,%AcPoss|31/12/2011|2.Maior|Sem Voto,PrinAcion|31/12/2011|3.Maior|Sem Voto,%AcPoss|31/12/2011|3.Maior|Sem Voto,PrinAcion|31/12/2011|4.Maior|Sem Voto,%AcPoss|31/12/2011|4.Maior|Sem Voto,PrinAcion|31/12/2011|5.Maior|Sem Voto,%AcPoss|31/12/2011|5.Maior|Sem Voto,PrinAcion|31/12/2011|6.Maior|Sem Voto,%AcPoss|31/12/2011|6.Maior|Sem Voto,PrinAcion|31/12/2011|7.Maior|Sem Voto,%AcPoss|31/12/2011|7.Maior|Sem Voto,PrinAcion|31/12/2011|8.Maior|Sem Voto,%AcPoss|31/12/2011|8.Maior|Sem Voto,PrinAcion|31/12/2011|9.Maior|Sem Voto,%AcPoss|31/12/2011|9.Maior|Sem Voto,PrinAcion|31/12/2011|10.Maior|Sem Voto,%AcPoss|31/12/2011|10.Maior|Sem Voto,PrinAcion|31/12/2011|1.Maior|Com Voto,%AcPoss|31/12/2011|1.Maior|Com Voto,PrinAcion|31/12/2011|2.Maior|Com Voto,%AcPoss|31/12/2011|2.Maior|Com Voto,PrinAcion|31/12/2011|3.Maior|Com Voto,%AcPoss|31/12/2011|3.Maior|Com Voto,PrinAcion|31/12/2011|4.Maior|Com Voto,%AcPoss|31/12/2011|4.Maior|Com Voto,PrinAcion|31/12/2011|5.Maior|Com Voto,%AcPoss|31/12/2011|5.Maior|Com Voto,PrinAcion|31/12/2011|6.Maior|Com Voto,%AcPoss|31/12/2011|6.Maior|Com Voto,PrinAcion|31/12/2011|7.Maior|Com Voto,%AcPoss|31/12/2011|7.Maior|Com Voto,PrinAcion|31/12/2011|8.Maior|Com Voto,%AcPoss|31/12/2011|8.Maior|Com Voto,PrinAcion|31/12/2011|9.Maior|Com Voto,%AcPoss|31/12/2011|9.Maior|Com Voto,PrinAcion|31/12/2011|10.Maior|Com Voto,%AcPoss|31/12/2011|10.Maior|Com Voto
Coelba,ON,15139629000194,BR,ativo,1452,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,CEEB3,BRCEEBACNOR3,12,6137842,2297937,4967359,1556846,750490,Real,188177,3.9882132248,12.211572083,26.397269592,4.4093035025,9.2,12.0,Neoenergia S/A,85.2,Iberdrola Energia S.A.,13.2,Previ Cx Prev Funcs Bco Brasil,1.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Neoenergia S/A,90,Iberdrola Energia S.A.,5.1,Previ Cx Prev Funcs Bco Brasil,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coelce,ON,7047251000170,BR,ativo,1486,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,COCE3,BRCOCEACNOR0,12,3352968,1471022,2627212,726095,471182,Real,77855,6.0520222265,18.894308016,33.744806503,4.2725929291,13.5,15.1,Eletrobras - Centrais Eletricas Brasileiras S.A.,18.5,Endesa Brasil S.A,5.9,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Investluz S.A.,92,-,0.0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Comgas,ON,61856571000117,BR,ativo,1563,Distribuição de gas natural,Petróleo e Gas,Ação,Bovespa,CGAS3,BRCGASACNOR0,12,4307670,1246436,4102660,1106043,236139,Real,119823,1.9707318295,10.402310074,34.239336354,3.6744023672,8.6,9.9,Mcap Poland Fundo de Investimento em Acoes,39.1,Integral Investments BV,14.1,"Taef Fund, Llc",7.3,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,Integral Investments BV,88,Shell Brazil Holding B V,8.1,Mcap Poland Fundo de Investimento em Acoes,1,"Taef Fund, Llc",0.8,-,-,-,-,-,-,-,-,-,-,-,-
Const A Lind,ON,61022042000118,BR,ativo,472,Construção de edifícios residenciais,Construção,Ação,Bovespa,CALI3,BRCALIACNOR1,12,24477,-7415,18686,7552,-5142,Real,372,-26.338114235,-19.926421387,95.712563708,0,-,-,Marcos Ribeiro Simon,41.3,Lindencorp Desenvolv. Imobiliario S.A.,26.1,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lindencorp Desenvolv. Imobiliario S.A.,83,Espolio Dethereza C. Oliveira Lindenberg,8.7,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Const Beter,ON,61192373000104,BR,ativo,475,Outras construções pesadas,Construção,Ação,Bovespa,COBE3B,BRCOBEACNOR2,-,-,-,-,-,-,Real,1127641,-,-,-,0,-,0.0,Hbfl7 Participacoes Ltda,34.4,Hbbk3 Participacoes Ltda,11.3,Spm Empreendimentos Ltda,9.2,Carlos Augusto A Paes Barros,5.9,Arlindo Antonio Stocco,2.2,Acoes em Tesouraria,0.2,-,0.0,-,-,-,-,-,-,Has Participacoes Ltda,44,Hbbk3 Participacoes Ltda,36.1,Hbfl7 Participacoes Ltda,8,Spm Empreendimentos Ltda,7.0,Carlos Augusto A Paes Barros,0,Arlindo Antonio Stocco,0,-,0.0,-,-,-,-,-,-
Contax,ON,4032433000180,BR,ativo,1910,Serviços de apoio a empresas,Outros,Ação,Bovespa,CTAX3,BRCTAXACNOR3,12,2647457,493776,2956199,395102,20920,Real,64334,0.33812239717,7.6751610747,47.779975736,1.5635953208,7.3,4.9,Skopos Administradora de Recursos Ltda,25.0,Credit Suisse Hedging-Griffo C. V. S/A,23.5,HSBC Ctvm SA,12.2,Ctx Participacoes S.A.,10.4,Portugal Telecom Brasil S.A.,7.0,-,0.0,-,-,-,-,-,-,-,-,Ctx Participacoes S.A.,72,"Eton Park Capital Management, L.P.",5.3,Credit Suisse Hedging-Griffo C. V. S/A,5,HSBC Ctvm SA,3.2,Skopos Administradora de Recursos Ltda,2,-,0,-,-,-,-,-,-,-,-
Copasa,ON,17281106000103,BR,ativo,1944,"Agua, esgoto e outros sistemas",Outros,Ação,Bovespa,CSMG3,BRCSMGACNOR5,12,8267308,4533604,3224932,1301514,464507,Real,114561,4.0417220627,39.573711822,28.060457248,1.6547750468,5.0,5.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Estado de Minas Gerais,53,BNY Mellon ARX Investimentos Ltda,5.0,Acoes em Tesouraria,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Copel,ON,76483817000120,BR,ativo,1431,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,CPLE3,BRCPLEACNOR8,12,19121663,11826694,7776165,2319150,1157690,Real,273655,4.2304668783,43.217473803,28.415904493,1.47168,4.5,3.9,Bndespar - BNDES Participacoes SA,21.2,Estado do Parana,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Estado do Parana,59,Bndespar - BNDES Participacoes SA,26.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cor Ribeiro,ON,15101405000193,BR,ativo,486,Administração de empresas e empreendimentos,Outros,Ação,Bovespa,CORR3,BRCORRACNOR0,12,21449,9485,4950,4772,823,Real,23,35.546149527,409.66613398,213.79518853,20.386127,-,-,Armando de Carvalho Correa Ribeiro,1.8,Jose Carlos da Costa Gomes,0.2,Correa Ribeiro Investimentos S/A,0.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,Correa Ribeiro Empreendimentos S/C,49,Correa Ribeiro Investimentos S/A,6.0,Jose Carlos da Costa Gomes,0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Cosan,ON,50746577000115,BR,ativo,1983,Indústria de açúcar e produtos de confeitaria,Alimentos e Beb,Ação,Bovespa,CSAN3,BRCSANACNOR6,9,22845012,8973931,18302945,1989730,2456280,Real,406279,7.2299957621,22.088099557,56.399231168,0.492271565,1.8,1.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cosan Limited,62,Rezende Barbosa SA Adm e Part,10.9,Acoes em Tesouraria,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cosern,ON,8324196000181,BR,ativo,1813,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,CSRN3,BRCSRNACNOR0,-,-,-,-,-,-,Real,168074,-,-,-,1.0941450197,7.8,9.5,Neoenergia S/A,81.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Neoenergia S/A,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coteminas,ON,22677520000176,BR,ativo,315,Indústria de roupas de tecido,Textil,Ação,Bovespa,CTNM3,BRCTNMACNOR9,12,3371430,1217383,1739039,429764,-259755,Real,116552,-2.2280932014,10.444977349,14.91690621,0.005896,0.2,0.1,Wembley Sociedade Anonima,2.7,Econorte Emp Cons Nor de Minas Ltda,2.4,Farpal Agropastoril e Participacoes Ltda.,1.1,Jose Alencar G Silva-Com Part Emp,0.3,Ecopar Empresa de Com e Part Ltda,0.2,Acoes em Tesouraria,0.2,-,-,-,-,-,-,-,-,Wembley Sociedade Anonima,55,Econorte Emp Cons Nor de Minas Ltda,8.6,Farpal Agropastoril e Participacoes Ltda.,4,Ecopar Empresa de Com e Part Ltda,0.8,Jose Alencar G Silva-Com Part Emp,0,Acoes em Tesouraria,0,-,-,-,-,-,-,-,-
CPFL Energia,ON,2429144000193,BR,ativo,1866,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,"ADR,etc (emp estrang)",NYSE,CPL,US1261531057,12,27413057,7067158,12764028,4246463,1530403,Real,962274,-,-,-,0.785833,5.6,6.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fundo Mutuo Inv. Acoes BB Cart. Livre I,31,VBC Energia SA,25.6,Energia Sao Paulo Fundo de Investimento em Participacoes,11,Bndespar - BNDES Participacoes SA,8.4,Bonaire Participacoes S/A,2,-,-,-,-,-,-,-,-,-,-
CPFL Energia,ON,2429144000193,BR,ativo,1866,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,CPFE3,BRCPFEACNOR0,12,27413057,7067158,12764028,4246463,1530403,Real,962274,1.590402096,7.3442242963,13.264438768,1.282118561,4.9,6.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fundo Mutuo Inv. Acoes BB Cart. Livre I,31,VBC Energia SA,25.6,Energia Sao Paulo Fundo de Investimento em Participacoes,11,Bndespar - BNDES Participacoes SA,8.4,Bonaire Participacoes S/A,2,-,-,-,-,-,-,-,-,-,-
Cr2,ON,7820907000146,BR,ativo,2063,Construção de edifícios residenciais,Construção,Ação,Bovespa,CRDE3,BRCRDEACNOR1,12,787859,413985,195616,75474,7414,Real,48443,0.15417202253,8.5458057957,4.0677791151,0.5,8.5,6.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Itau-Unibanco S.A.,20,Carlos Antonio Guedes Valente,16.2,Squadra Investimentos - Gestao de Recursos Ltda,12,Claudio Coutinho Mendes,11.3,The Bank Of New York - Adr,9,Rogerio Furtado Moreira,6,Marco Paulo de Alvarenga Costa,5.6,-,-,-,-,-,-
Cremer,ON,82641325000118,BR,ativo,2014,Outras indústrias de tecidos,Textil,Ação,Bovespa,CREM3,BRCREMACNOR2,12,809275,300740,457761,150761,18639,Real,32226,0.58076972984,9.332256186,14.263304485,0.19090497,1.3,1.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tarpon Investimentos S.A.,31,Credit Suisse Hedging-Griffo C. V. S/A,10.7,Mcap Poland Fundo de Investimento em Acoes,11,Aberdeen Asset Management Plc,10.3,M&G Investment Management Limited,5,Guepardo Investimentos Ltda.,5,-,-,-,-,-,-,-,-
Cruzeiro Sul,ON,62136254000199,BR,ativo,2075,Bancos,Finanças e Seguros,Ação,Bovespa,CZRS3,BRCZRSACNOR4,12,13261987,977704,-,-,-98923,Real,135367,-0.73077469564,7.2225915297,-,0.7106581392,-,-,Capital Research & Mngmt Co,18.5,Luis Felippe Indio da Costa,16.5,Guilherme de Alvares Otero Fernandes,10.9,Luis Octavio A. L. Indio da Costa,7.8,Acoes em Tesouraria,3.7,-,0.0,-,-,-,-,-,-,-,-,Cruzeiro do Sul Holding Financeira,100,-,0.0,-,0,-,0.0,-,0,-,0,-,-,-,-,-,-,-,-
Csu Cardsystem,ON,1896779000138,BR,ativo,2004,Serviços de apoio a empresas,Outros,Ação,Bovespa,CARD3,BRCARDACNOR9,12,330937,151064,397603,103309,22646,Real,45666,0.48122861622,3.3080190952,8.4490833478,0.333456681,7.2,4.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,River Charles Netherlands Ltd,39,Gstaad Investment Holding Company,15.5,Mfs International New Discovery Fund - HSBC Ctvm S.A.,11,BBM Gestao de Recursos Ltda,8.3,Marcos Ribeiro Leite,2,Acoes em Tesouraria,1,-,-,-,-,-,-,-,-
Cyre Com-Ccp,ON,8801621000186,BR,ativo,2104,Locadora de imóveis,Outros,Ação,Bovespa,CCPR3,BRCCPRACNOR9,12,1421639,513531,309297,193542,113734,Real,82650,1.3403567495,6.2133212341,3.645069386,0.258185806,1.6,1.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Elie Horn,33,Leonis Emp e Part Ltda,21.2,Credit Suisse Hedging-Griffo C. V. S/A,12,Eirenor S/A,5.1,Green HG Fund Llc,3,Acoes em Tesouraria,3,Eh Capital Management,1.7,-,-,-,-,-,-
Cyrela Realty,ON,73178600000118,BR,ativo,1446,Construção de edifícios residenciais,Construção,Ação,Bovespa,CYRE3,BRCYREACNOR7,12,13416769,4544719,6126781,1733490,498171,Real,410668,1.1845296309,11.066649945,14.567997006,0.337021164,2.3,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Elie Horn,23,Carmignac Inv Bco Santander S.A.,7.8,"Blackrock, Inc",5,Eirenor S/A,5.2,Janus Capital Management Llc,5,Grupo Tarpon,5,Eh Capital Management,1.8,Rogerio Jonas Zylbersztajn,1,Fernando Goldsztein,1,Ricardo Sessegolo,0.2
Dasa,ON,61486650000183,BR,ativo,1962,Laboratório de exames médicos,Outros,Ação,Bovespa,DASA3,BRDASAACNOR1,12,4282796,2542348,2179874,780658,145455,Real,310644,0.46914957185,8.1841212568,7.0309508356,0.09657357596,0.6,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Edson de Godoy Bueno,12,Dulce Pugliese de Godoy Bueno,11.6,Credit Suisse Hedging-Griffo C. V. S/A,7,Massachusetts Mutual Life Insurance Company,5.2,Acoes em Tesouraria,0,-,-,-,-,-,-,-,-,-,-
Daycoval,ON,62232889000190,BR,ativo,2079,Bancos,Finanças e Seguros,Ação,Bovespa,DAYC3,BRDAYCACNOR5,12,11343221,1936992,-,-,293960,Real,215704,1.3638918198,8.9798612914,-,0.61193,-,-,Tarpon Investimentos S.A.,17.5,HSBC Bank Brasil SA,14.3,Credit Suisse Proprio FI Mult,14.2,Salim Dayan,7.2,Carlos Moche Dayan,7.2,Morris Dayan,7.2,Acoes em Tesouraria,0.9,Sasson Dayan,0,-,-,-,-,Sasson Dayan,51,Morris Dayan,33.3,Salim Dayan,7,Carlos Moche Dayan,7.3,-,0,-,0,-,0.0,-,0,-,-,-,-
Desenvix,ON,622416000141,BR,ativo,2259,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,DVIX3M,BRDVIXACNOR0,12,1731017,596521,143403,69570,2546,Real,100000,0.02546,5.96521,1.43403,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Caixa FIP Cevix,80,FIP Desenvix,19.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DHB,ON,92825900000196,BR,ativo,515,Indústria de autopeças,Veiculos e peças,Ação,Bovespa,DHBI3,BRDHBIACNOR5,12,271085,-189641,304117,65939,35832,Real,4197,8.5375268049,-45.184893972,72.460567072,0,-,-,BNY Mellon Serv. Financ. Distrib.Tits SA,21.3,Elie Lebbos,15.3,Jose Eduardo Alves Ferreira,14.4,Giancarlo Mandelli,11.8,Luiz Carlos Mandelli,9.9,Titan Comercio e Industria S/A,5.6,Luciano Mandelli,3.8,Paulo Gilberto Fernandes Tigre,1,-,0.0,-,0.0,Lcm Administracao e Partic Ltda,55,Pgt Administracao e Partic Ltda,21.1,Refinadora Catarinense S/A,10,Elie Lebbos,5.0,Luiz Carlos Mandelli,2,Luciano Mandelli,0,Giancarlo Mandelli,0.1,Paulo Gilberto Fernandes Tigre,0,-,0,-,0.0
Dimed,ON,92665611000177,BR,ativo,934,Loja de artigos para saúde e cuidados pessoais,Comércio,Ação,Bovespa,PNVL3,BRPNVLACNOR9,12,442155,199243,1345632,290433,37422,Real,4571,8.176988556,43.592479032,294.03071628,2.2092,2.0,2.4,Elizabeth Weber Taylor,0.7,Geraldo Otto Weber,0.7,Martha Weber Luce,0.7,Roberto Luiz Weber,0.6,Beatriz Simon Pizzato,0.5,Acoes em Tesouraria,0.1,-,0.0,-,-,-,-,-,-,Julio Ricardo Andrighetto Mottin,12,Beatriz Simon Pizzato,6.5,Elizabeth Weber Taylor,6,Roberto Luiz Weber,5.7,Geraldo Otto Weber,6,Martha Weber Luce,5,Acoes em Tesouraria,0.0,-,-,-,-,-,-
Direcional,ON,16614075000100,BR,ativo,2135,Construção de edifícios residenciais,Construção,Ação,Bovespa,DIRR3,BRDIRRACNOR0,12,2451913,1156782,1072312,300573,175216,Real,153245,1.1545415849,7.5486021257,7.0657291344,0.301873825,3.2,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Filadelphia Participacoes S.A.,47,Tarpon Investimentos S.A.,15.0,Government Of Singapore Investment Corporation Pte Ltd,7,Ridgecrest Llc,6.9,Acoes em Tesouraria,1,-,-,-,-,-,-,-,-,-,-
Doc Imbituba,ON,84208123000102,BR,ativo,317,Atividades auxiliares ao transporte aquático,Transporte Serviç,Ação,Bovespa,IMBI3,BRIMBIACNOR4,12,269250,99850,927,697,-14514,Real,175145,-0.097479889618,0.57009906078,0.0062259788946,0,0.0,0.0,Ernani Catalani Filho,5.3,Titulos Ao Portador,0.3,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,-,-,-,-,-,Cbp - Companhia Brasileira de Portos S.A,76,Royal Transportes e Servicos Ltda,11.9,Fator Projetos e Assessorias Ltda,7,Rowin Gustav Von Reininghaus,2.9,Instituto Seguridade Social/Portus,0,Titulos Ao Portador,0,Ernani Catalani Filho,0.2,-,-,-,-,-,-
Docas,ON,33433665000148,BR,ativo,318,Administração de empresas e empreendimentos,Outros,Ação,Bovespa,DOCA3,BRDOCAACNOR6,12,499581,-310741,24051,4280,-58934,Real,1159,-50.847077419,-268.10112472,20.750722147,0,-,0.0,Francisco Asclepio Barroso Aguiar,10.0,Jose Antonio B. G. Tourinho,9.1,Clube de Investimentos Sapidu,8.9,Jose Oswaldo Morales Junior,7.4,-,0.0,-,-,-,-,-,-,-,-,-,-,Santa Maria Participacoes Ltda.,69,Jose Oswaldo Morales Junior,0.3,Jose Antonio B. G. Tourinho,0,Francisco Asclepio Barroso Aguiar,0.1,-,0,-,-,-,-,-,-,-,-,-,-
Dohler,ON,84683408000103,BR,ativo,520,Indústria de roupas de tecido,Textil,Ação,Bovespa,DOHL3,BRDOHLACNOR2,12,520521,401213,301088,87824,24124,Real,50430,0.47836604702,7.9558098036,5.9704143742,0.18,-,6.2,C.L. Administracao de Bens Ltda,13.1,Ingo Dolher,10.2,Eagle Capital Ss Ltda.,7.4,Eldopar Participacoes Ltda,5.6,Cardopar Participacoes Ltda,5.6,Jmgr Participacoes Ltda.,4.6,Mam Participacoes Ltda,1.6,Amr Participacoes Ltda,2,-,-,-,-,C.L. Administracao de Bens Ltda,19,Ingo Dolher,18.5,Eldopar Participacoes Ltda,10,Cardopar Participacoes Ltda,9.8,Jmgr Participacoes Ltda.,8,Mam Participacoes Ltda,6,Amr Participacoes Ltda,5.7,-,0,-,-,-,-
Dtcom Direct,ON,3303999000136,BR,ativo,1859,Outros tipos de escolas,Outros,Ação,Bovespa,DTCY3,BRDTCYACNOR5,12,15861,5823,11149,4424,-1393,Real,56132,-0.024816890656,0.10373761847,0.19862420238,0,0.0,0.0,Palmital Servicos Tecnicos e Participacoes Ltda,33.3,Ric Empreendimentos e Consultoria S/A,27.0,Augustus Administracao S/A,23.3,Mario Jose Gonzaga Petrelli,10.6,F Mota Administracao e Empreendimentos S/A,5.8,-,0.0,-,0.0,-,0,-,0.0,-,-,Ouro Verde Investimentos e Participacoes,24,Palmital Servicos Tecnicos e Participacoes Ltda,22.3,Augustus Administracao S/A,14,Leonardo Petrelli Neto,10.4,Ric Empreendimentos e Consultoria S/A,8,Mario Jose Gonzaga Petrelli,8,Mongeral Aegon Seguros e Previdencia S.A.,5.8,F Mota Administracao e Empreendimentos S/A,3,Sergio Marcos Prosdocimo,1,-,-
Dufry Ag,ON,11423623000193,OT,ativo,8011,Outras lojas de mercadorias variadas,Comércio,Ação,Bovespa,DAGB11,BRDAGBBDR008,12,6627402,1905865,5009541,2916318,212129,Real,26868,7.9215112559,70.93415322,187.07077023,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Global Retail Group Sarl E Travel Retail Investment Sca,23,Artio Global Management Llc,7.1,Credit Suisse Group Ag,7,Skopos Inv Admin de Rec Intern Ltda E Skopos Admin de Rec Ltda,4.4,Hudson Media Inc,4,Acoes Em Tesouraria,1,-,-,-,-,-,-,-,-
Duratex,ON,97837181000147,BR,ativo,2109,Indústria de móveis e afins,Outros,Ação,Bovespa,DTEX3,BRDTEXACNOR3,12,6814150,3689209,2970365,1011931,374212,Real,548146,0.6818153826,6.7303400919,5.4120139091,0.2756963315,3.1,1.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Itausa Invest Itau S.A.,35,Cia Ligna de Investimentos,14.7,Maria de Lourdes Egydio Villela,1,Paulo Setubal Neto,1.1,Andrea Laserna Seibel,1,Alex Laserna Seibel,1,Fundo de Inv. em Participações Progresso,0.8,Alfredo Egydio Arruda Villela Filho,1,Ana Lucia de Mattos Barretto Villela,1,Oes Participações S.A.,0.4
Ecorodovias,ON,4149454000180,BR,ativo,1945,Atividades auxiliares ao transporte,Transporte Serviç,Ação,Bovespa,ECOR3,BRECORACNOR8,12,4156437,1882060,1827371,1014348,383017,Real,558699,0.68563822229,3.3686475186,3.2711743967,0.51116492,3.7,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Primav Construcoes e Comercio S/A,45,Impregilo International Infrastructures,29.2,Acoes em Tesouraria,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elekeiroz,ON,13788120000147,BR,ativo,435,Indústria química básica,Química,Ação,Bovespa,ELEK3,BRELEKACNOR5,12,653537,476704,776693,89570,14827,Real,31485,0.47092266159,15.14067016,24.668667619,0.32,2.9,2.5,Itausa Invest Itau S.A.,95.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Itausa Invest Itau S.A.,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elektro,ON,2328280000197,BR,ativo,1748,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,EKTR3,BREKTRACNOR0,12,3418815,1368644,3564093,1049215,492436,Real,193759,2.5414836292,7.063631254,18.394439099,2.420003432,-,-,Iberdrola Energia do Brasil,65.5,Epc Empr. Paranaense Com. Ltda,33.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Epc Empr. Paranaense Com. Ltda,100,Iberdrola Energia do Brasil,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eletrobras,ON,1180000126,BR,ativo,243,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,"ADR,etc (emp estrang)",NYSE,EBR,US15234Q2075,12,163142432,76843509,33061356,28345609,3732565,Real,1352634,-,-,-,538,5.5,3.9,JP Morgan Chase Bank,13.2,Skagen Kon Tiki Verdipapirfond,10.4,Bndespar - BNDES Participacoes SA,7.0,BNDES - Banco Nac de Desenvol Economico e Social,6.9,Fundo Garantidor Para Investimentos Fgi,3.3,Fundo Garantia de Operacoes Fgo,0.2,Paola Penotti Chiappa,0.0,Giovanni Chiappa,0,Victor Adler,0.0,Uniao Federal (Tesouro Nacional),0.0,Uniao Federal (Tesouro Nacional),51,Bndespar - BNDES Participacoes SA,16.6,BNDES - Banco Nac de Desenvol Economico e Social,7,JP Morgan Chase Bank,7.0,Fnd Fundo Nacional de Desenvolvimento,4,Caixa Economica Federal,1,Fundo Garantidor de Habitacao Fghab,0.1,-,0,-,0,-,0.0
Eletrobras,ON,1180000126,BR,ativo,243,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,ELET3,BRELETACNOR6,12,163142432,76843509,33061356,28345609,3732565,Real,1352634,2.7730885363,56.81027042,24.562751705,0.87460685327,4.9,3.9,JP Morgan Chase Bank,13.2,Skagen Kon Tiki Verdipapirfond,10.4,Bndespar - BNDES Participacoes SA,7.0,BNDES - Banco Nac de Desenvol Economico e Social,6.9,Fundo Garantidor Para Investimentos Fgi,3.3,Fundo Garantia de Operacoes Fgo,0.2,Paola Penotti Chiappa,0.0,Giovanni Chiappa,0,Victor Adler,0.0,Uniao Federal (Tesouro Nacional),0.0,Uniao Federal (Tesouro Nacional),51,Bndespar - BNDES Participacoes SA,16.6,BNDES - Banco Nac de Desenvol Economico e Social,7,JP Morgan Chase Bank,7.0,Fnd Fundo Nacional de Desenvolvimento,4,Caixa Economica Federal,1,Fundo Garantidor de Habitacao Fghab,0.1,-,0,-,0,-,0.0
Eletropar,ON,1104937000170,BR,ativo,1578,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,LIPR3,BRLIPRACNOR7,12,243224,202049,0,0,23655,Real,11764,2.0106682794,17.175195512,0,0.96167,2.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eletrobras - Centrais Eletricas Brasileiras S.A.,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
