Nome,Classe,CNPJ,Pais Sede,Ativo /|Cancelado,ID da|empresa,Setor NAICS|ult disponiv,Setor|Economática,Tipo de Ativo,Bolsa,Código,ISIN,Meses|Dez 2011|no exercício|consolid:sim*,Ativo Tot|Dez 2011|em moeda orig|consolid:sim*,Patrim Liq|Dez 2011|em moeda orig|consolid:sim*,Receita|Dez 2011|em moeda orig|no exercício|consolid:sim*,Lucro Bruto|Dez 2011|em moeda orig|no exercício|consolid:sim*,Lucro Liq|Dez 2011|em moeda orig|no exercício|consolid:sim*,Moeda dos|Balanços,Qtd Ações|Outstanding|da classe|31Dez11,LPA|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,VPA|Dez 2011|em moeda orig|consolid:sim*|ajust p/ prov,Vendas/Acao|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,Divid por Ação|31Dez11|1 anos|em moeda orig,Div Yld (fim)|31Dez11|no Ano|em moeda orig,Div Yld (inic)|31Dez11|1 anos|em moeda orig,PrinAcion|31/12/2011|1.Maior|Sem Voto,AcPossuid|31/12/2011|1.Maior|Sem Voto,PrinAcion|31/12/2011|2.Maior|Sem Voto,AcPossuid|31/12/2011|2.Maior|Sem Voto,PrinAcion|31/12/2011|3.Maior|Sem Voto,AcPossuid|31/12/2011|3.Maior|Sem Voto,PrinAcion|31/12/2011|4.Maior|Sem Voto,AcPossuid|31/12/2011|4.Maior|Sem Voto,PrinAcion|31/12/2011|5.Maior|Sem Voto,AcPossuid|31/12/2011|5.Maior|Sem Voto,PrinAcion|31/12/2011|6.Maior|Sem Voto,AcPossuid|31/12/2011|6.Maior|Sem Voto,PrinAcion|31/12/2011|7.Maior|Sem Voto,AcPossuid|31/12/2011|7.Maior|Sem Voto,PrinAcion|31/12/2011|8.Maior|Sem Voto,AcPossuid|31/12/2011|8.Maior|Sem Voto,PrinAcion|31/12/2011|9.Maior|Sem Voto,AcPossuid|31/12/2011|9.Maior|Sem Voto,PrinAcion|31/12/2011|10.Maior|Sem Voto,AcPossuid|31/12/2011|10.Maior|Sem Voto,PrinAcion|31/12/2011|1.Maior|Com Voto,AcPossuid|31/12/2011|1.Maior|Com Voto,PrinAcion|31/12/2011|2.Maior|Com Voto,AcPossuid|31/12/2011|2.Maior|Com Voto,PrinAcion|31/12/2011|3.Maior|Com Voto,AcPossuid|31/12/2011|3.Maior|Com Voto,PrinAcion|31/12/2011|4.Maior|Com Voto,AcPossuid|31/12/2011|4.Maior|Com Voto,PrinAcion|31/12/2011|5.Maior|Com Voto,AcPossuid|31/12/2011|5.Maior|Com Voto,PrinAcion|31/12/2011|6.Maior|Com Voto,AcPossuid|31/12/2011|6.Maior|Com Voto,PrinAcion|31/12/2011|7.Maior|Com Voto,AcPossuid|31/12/2011|7.Maior|Com Voto,PrinAcion|31/12/2011|8.Maior|Com Voto,AcPossuid|31/12/2011|8.Maior|Com Voto,PrinAcion|31/12/2011|9.Maior|Com Voto,AcPossuid|31/12/2011|9.Maior|Com Voto,PrinAcion|31/12/2011|10.Maior|Com Voto,AcPossuid|31/12/2011|10.Maior|Com Voto
Cremer (Antiga),PN,82641325000118,BR,cancelado,496,Tecelagens,Textil,Ação,Bovespa,CREM4-old,-,-,-,-,-,-,-,Real,230850000,-,-,-,0,-,-,Cremer Participacoes Ltda,84903000,Franklin Temp Valor e Fvl FIA,44155000,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,Cremer Participacoes Ltda,191076000,Bradesco Vida e Previdencia S.A.,29992000,Rimed Com. Repres. Ltda,17998000,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Crt Celular,ON,-,BR,cancelado,1821,Telecomunicações,Telecomunicações,Ação,Bovespa,CRTP3,-,-,-,-,-,-,-,Real,14439000,-,-,-,0,-,-,"Brasilcel, N.V.",4786000,Avista Participacoes Ltda,4417000,Acoes em Tesouraria,639000,Tbs Celular Participacoes Ltda,166000,-,-,-,-,-,-,-,-,-,-,-,-,Tbs Celular Participacoes Ltda,9505000,"Brasilcel, N.V.",2967000,Avista Participacoes Ltda,605000,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Crt Celular,PNA,-,BR,cancelado,1821,Telecomunicações,Telecomunicações,Ação,Bovespa,CRTP5,-,-,-,-,-,-,-,Real,18203000,-,-,-,0,-,-,"Brasilcel, N.V.",4786000,Avista Participacoes Ltda,4417000,Acoes em Tesouraria,639000,Tbs Celular Participacoes Ltda,166000,-,-,-,-,-,-,-,-,-,-,-,-,Tbs Celular Participacoes Ltda,9505000,"Brasilcel, N.V.",2967000,Avista Participacoes Ltda,605000,-,0,-,-,-,-,-,-,-,-,-,-,-,-
Crt Ciargtelec,PNA,92794486000103,BR,cancelado,391,Telecomunicações,Telecomunicações,Ação,Bovespa,CRGT5,-,-,-,-,-,-,-,Real,1265348000,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cruzeiro Sul,ON,62136254000199,BR,ativo,2075,Bancos,Finanças e Seguros,Ação,Bovespa,CZRS3,BRCZRSACNOR4,12,13261987000,977704000,-,-,-98923000,Real,99897555,-0.73077469564,7.2225915297,-,0.7106581392,-,-,Capital Research & Mngmt Co,6816700,Luis Felippe Indio da Costa,6067694,Guilherme de Alvares Otero Fernandes,4024300,Luis Octavio A. L. Indio da Costa,2872188,Acoes em Tesouraria,1360000,-,0,-,-,-,-,-,-,-,-,Cruzeiro do Sul Holding Financeira,99897555,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-
Cruzeiro Sul,PN,62136254000199,BR,ativo,2075,Bancos,Finanças e Seguros,Ação,Bovespa,CZRS4,BRCZRSACNPR1,12,13261987000,977704000,-,-,-98923000,Real,35469923,-0.73077469564,7.2225915297,-,0.7106581392,5.2,4.7,Capital Research & Mngmt Co,6816700,Luis Felippe Indio da Costa,6067694,Guilherme de Alvares Otero Fernandes,4024300,Luis Octavio A. L. Indio da Costa,2872188,Acoes em Tesouraria,1360000,-,0,-,-,-,-,-,-,-,-,Cruzeiro do Sul Holding Financeira,99897555,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-
Csu Cardsystem,ON,1896779000138,BR,ativo,2004,Serviços de apoio a empresas,Outros,Ação,Bovespa,CARD3,BRCARDACNOR9,12,330937000,151064000,397603000,103309000,22646000,Real,45666000,0.48122861622,3.3080190952,8.4490833478,0.333456681,7.2,4.9,-,0,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,River Charles Netherlands Ltd,18352699,Gstaad Investment Holding Company,7205200,Mfs International New Discovery Fund - HSBC Ctvm S.A.,5243053,BBM Gestao de Recursos Ltda,3872900,Marcos Ribeiro Leite,731650,Acoes em Tesouraria,414708,-,-,-,-,-,-,-,-
Cyre Com-Ccp,ON,8801621000186,BR,ativo,2104,Locadora de imóveis,Outros,Ação,Bovespa,CCPR3,BRCCPRACNOR9,12,1421639000,513531000,309297000,193542000,113734000,Real,82650000,1.3403567495,6.2133212341,3.645069386,0.258185806,1.6,1.8,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,Elie Horn,28787346,Leonis Emp e Part Ltda,18306856,Credit Suisse Hedging-Griffo C. V. S/A,10094000,Eirenor S/A,4380001,Green HG Fund Llc,2735500,Acoes em Tesouraria,2386232,Eh Capital Management,1500480,-,-,-,-,-,-
Cyrela Realty,ON,73178600000118,BR,ativo,1446,Construção de edifícios residenciais,Construção,Ação,Bovespa,CYRE3,BRCYREACNOR7,12,13416769000,4544719000,6126781000,1733490000,498171000,Real,410668000,1.1845296309,11.066649945,14.567997006,0.337021164,2.3,1.5,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,Elie Horn,98128878,Carmignac Inv Bco Santander S.A.,33041765,"Blackrock, Inc",22430897,Eirenor S/A,21900008,Janus Capital Management Llc,21894215,Grupo Tarpon,21157800,Eh Capital Management,7502400,Rogerio Jonas Zylbersztajn,6287182,Fernando Goldsztein,3283117,Ricardo Sessegolo,708602
Cyrela Realty,PN,73178600000118,BR,cancelado,1446,Construção de edifícios residenciais,Construção,Ação,Bovespa,CYRE4,-,12,13416769000,4544719000,6126781000,1733490000,498171000,Real,0,1.1845296309,11.066649945,14.567997006,0,-,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,Elie Horn,98128878,Carmignac Inv Bco Santander S.A.,33041765,"Blackrock, Inc",22430897,Eirenor S/A,21900008,Janus Capital Management Llc,21894215,Grupo Tarpon,21157800,Eh Capital Management,7502400,Rogerio Jonas Zylbersztajn,6287182,Fernando Goldsztein,3283117,Ricardo Sessegolo,708602
Czarina,PN,96735006000186,BR,cancelado,1274,Indústria de calçados,Textil,Ação,Bovespa,CZAR4,-,-,-,-,-,-,-,Real,2195794000,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D F Vasconc,ON,61482725000158,BR,cancelado,502,Outras outras indústrias,Outros,Ação,Bovespa,DFVA3,-,-,-,-,-,-,-,Real,7149000,-,-,-,0,-,-,Cemisa Participacoes Ltda.,8000,Sul America Cia Nac de Seg,8000,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Medical Laser Co Inc.,5878000,Cemisa Participacoes Ltda.,995000,Sul America Cia Nac de Seg,12000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
D F Vasconc,PN,61482725000158,BR,cancelado,502,Outras outras indústrias,Outros,Ação,Bovespa,DFVA4,-,-,-,-,-,-,-,Real,22000,-,-,-,0,-,-,Cemisa Participacoes Ltda.,8000,Sul America Cia Nac de Seg,8000,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Medical Laser Co Inc.,5878000,Cemisa Participacoes Ltda.,995000,Sul America Cia Nac de Seg,12000,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dasa,ON,61486650000183,BR,ativo,1962,Laboratório de exames médicos,Outros,Ação,Bovespa,DASA3,BRDASAACNOR1,12,4282796000,2542348000,2179874000,780658000,145455000,Real,310643980,0.46914957185,8.1841212568,7.0309508356,0.09657357596,0.6,0.4,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,Edson de Godoy Bueno,37505119,Dulce Pugliese de Godoy Bueno,36034265,Credit Suisse Hedging-Griffo C. V. S/A,22022100,Massachusetts Mutual Life Insurance Company,16315928,Acoes em Tesouraria,459035,-,-,-,-,-,-,-,-,-,-
Datasul,ON,3114361000157,BR,cancelado,2009,Serviços de processamento de dados,Software e Dados,Ação,Bovespa,DSUL3,-,-,-,-,-,-,-,Real,28800000,-,-,-,0,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Totvs S.A.,28800000,Acoes em Tesouraria,175000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Daycoval,ON,62232889000190,BR,ativo,2079,Bancos,Finanças e Seguros,Ação,Bovespa,DAYC3,BRDAYCACNOR5,12,11343221000,1936992000,-,-,293960000,Real,142418000,1.3638918198,8.9798612914,-,0.61193,-,-,Tarpon Investimentos S.A.,12963700,HSBC Bank Brasil SA,10550348,Credit Suisse Proprio FI Mult,10482489,Salim Dayan,5317390,Carlos Moche Dayan,5317390,Morris Dayan,5317386,Acoes em Tesouraria,662130,Sasson Dayan,100000,-,-,-,-,Sasson Dayan,72633273,Morris Dayan,47467422,Salim Dayan,10348326,Carlos Moche Dayan,10348326,-,0,-,0,-,0,-,0,-,-,-,-
Daycoval,PN,62232889000190,BR,ativo,2079,Bancos,Finanças e Seguros,Ação,Bovespa,DAYC4,BRDAYCACNPR2,12,11343221000,1936992000,-,-,293960000,Real,73286000,1.3638918198,8.9798612914,-,0.61193,6.5,4.7,Tarpon Investimentos S.A.,12963700,HSBC Bank Brasil SA,10550348,Credit Suisse Proprio FI Mult,10482489,Salim Dayan,5317390,Carlos Moche Dayan,5317390,Morris Dayan,5317386,Acoes em Tesouraria,662130,Sasson Dayan,100000,-,-,-,-,Sasson Dayan,72633273,Morris Dayan,47467422,Salim Dayan,10348326,Carlos Moche Dayan,10348326,-,0,-,0,-,0,-,0,-,-,-,-
Dell Computer,Com,-,US,ativo,826083,Indústria de computadores e periféricos,Eletroeletrônicos,"ADR,etc (emp estrang)",Bovespa,DELL11B,BRDELLBDR009,-,-,-,-,-,-,Dollar US,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Desenvix,ON,622416000141,BR,ativo,2259,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,DVIX3M,BRDVIXACNOR0,12,1731017000,596521000,143403000,69570000,2546000,Real,100000000,0.02546,5.96521,1.43403,0,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Caixa FIP Cevix,80327870,FIP Desenvix,19672130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DHB,ON,92825900000196,BR,ativo,515,Indústria de autopeças,Veiculos e peças,Ação,Bovespa,DHBI3,BRDHBIACNOR5,12,271085000,-189641000,304117000,65939000,35832000,Real,1448000,8.5375268049,-45.184893972,72.460567072,0,-,-,BNY Mellon Serv. Financ. Distrib.Tits SA,584800,Elie Lebbos,421388,Jose Eduardo Alves Ferreira,396000,Giancarlo Mandelli,323747,Luiz Carlos Mandelli,272192,Titan Comercio e Industria S/A,154364,Luciano Mandelli,103800,Paulo Gilberto Fernandes Tigre,24992,-,0,-,0,Lcm Administracao e Partic Ltda,800701,Pgt Administracao e Partic Ltda,305371,Refinadora Catarinense S/A,141075,Elie Lebbos,72667,Luiz Carlos Mandelli,31383,Luciano Mandelli,4400,Giancarlo Mandelli,1100,Paulo Gilberto Fernandes Tigre,968,-,0,-,0
DHB,PN,92825900000196,BR,ativo,515,Indústria de autopeças,Veiculos e peças,Ação,Bovespa,DHBI4,BRDHBIACNPR2,12,271085000,-189641000,304117000,65939000,35832000,Real,2749000,8.5375268049,-45.184893972,72.460567072,0,0.0,-,BNY Mellon Serv. Financ. Distrib.Tits SA,584800,Elie Lebbos,421388,Jose Eduardo Alves Ferreira,396000,Giancarlo Mandelli,323747,Luiz Carlos Mandelli,272192,Titan Comercio e Industria S/A,154364,Luciano Mandelli,103800,Paulo Gilberto Fernandes Tigre,24992,-,0,-,0,Lcm Administracao e Partic Ltda,800701,Pgt Administracao e Partic Ltda,305371,Refinadora Catarinense S/A,141075,Elie Lebbos,72667,Luiz Carlos Mandelli,31383,Luciano Mandelli,4400,Giancarlo Mandelli,1100,Paulo Gilberto Fernandes Tigre,968,-,0,-,0
Dijon,ON,40173064000109,BR,cancelado,1383,Outros serviços (exceto administração pública),Outros,Ação,Bovespa,DJON3,-,-,-,-,-,-,-,Real,1962600000,-,-,-,0,-,-,Vila Moura Empr. e Part. Ltda,684413000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vila Moura Empr. e Part. Ltda,1962510000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dijon,PN,40173064000109,BR,cancelado,1383,Outros serviços (exceto administração pública),Outros,Ação,Bovespa,DJON4,-,-,-,-,-,-,-,Real,1308400000,-,-,-,0,-,-,Vila Moura Empr. e Part. Ltda,684413000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vila Moura Empr. e Part. Ltda,1962510000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dimed,ON,92665611000177,BR,ativo,934,Loja de artigos para saúde e cuidados pessoais,Comércio,Ação,Bovespa,PNVL3,BRPNVLACNOR9,12,442155000,199243000,1345632000,290433000,37422000,Real,4121059,8.176988556,43.592479032,294.03071628,2.2092,2.0,2.4,Elizabeth Weber Taylor,3245,Geraldo Otto Weber,3229,Martha Weber Luce,3229,Roberto Luiz Weber,2505,Beatriz Simon Pizzato,2048,Acoes em Tesouraria,480,-,0,-,-,-,-,-,-,Julio Ricardo Andrighetto Mottin,500237,Beatriz Simon Pizzato,269852,Elizabeth Weber Taylor,235057,Roberto Luiz Weber,234854,Geraldo Otto Weber,228658,Martha Weber Luce,223783,Acoes em Tesouraria,690,-,-,-,-,-,-
Dimed,PN,92665611000177,BR,ativo,934,Loja de artigos para saúde e cuidados pessoais,Comércio,Ação,Bovespa,PNVL4,BRPNVLACNPR6,12,442155000,199243000,1345632000,290433000,37422000,Real,449523,8.176988556,43.592479032,294.03071628,2.4301,2.5,3.0,Elizabeth Weber Taylor,3245,Geraldo Otto Weber,3229,Martha Weber Luce,3229,Roberto Luiz Weber,2505,Beatriz Simon Pizzato,2048,Acoes em Tesouraria,480,-,0,-,-,-,-,-,-,Julio Ricardo Andrighetto Mottin,500237,Beatriz Simon Pizzato,269852,Elizabeth Weber Taylor,235057,Roberto Luiz Weber,234854,Geraldo Otto Weber,228658,Martha Weber Luce,223783,Acoes em Tesouraria,690,-,-,-,-,-,-
Dinamica Ene,ON,7659538000151,BR,cancelado,2005,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,DNEN3B,-,12,13547000,12395000,0,0,1213000,Real,334424000,0.003627132024,0.037063727484,0,0,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Fundo de Inv. de Acoes Dinamica Ene,334423444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Direcional,ON,16614075000100,BR,ativo,2135,Construção de edifícios residenciais,Construção,Ação,Bovespa,DIRR3,BRDIRRACNOR0,12,2451913000,1156782000,1072312000,300573000,175216000,Real,153244532,1.1545415849,7.5486021257,7.0657291344,0.301873825,3.2,2.2,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,Filadelphia Participacoes S.A.,72469445,Tarpon Investimentos S.A.,23175324,Government Of Singapore Investment Corporation Pte Ltd,11170549,Ridgecrest Llc,10653225,Acoes em Tesouraria,1633800,-,-,-,-,-,-,-,-,-,-
Dixie Toga,ON,60394723000144,BR,cancelado,1493,Indústria de produtos de plástico,Outros,Ação,Bovespa,DXTG3,-,-,-,-,-,-,-,Real,191100116,-,-,-,0.07843,-,-,Bemis Cayman Island,45038367,International Finance Corporation,17901175,Credit Suisse Hedging-Griffo C. V. S/A,9703100,CSHG Clique FIA,5767500,Acoes em Tesouraria,403400,-,-,-,-,-,-,-,-,-,-,Bemis Cayman Island,191098885,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-
Dixie Toga,PN,60394723000144,BR,cancelado,1493,Indústria de produtos de plástico,Outros,Ação,Bovespa,DXTG4,-,-,-,-,-,-,-,Real,83306522,-,-,-,0.08627,-,3.4,Bemis Cayman Island,45038367,International Finance Corporation,17901175,Credit Suisse Hedging-Griffo C. V. S/A,9703100,CSHG Clique FIA,5767500,Acoes em Tesouraria,403400,-,-,-,-,-,-,-,-,-,-,Bemis Cayman Island,191098885,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-
Doc Imbituba,ON,84208123000102,BR,ativo,317,Atividades auxiliares ao transporte aquático,Transporte Serviç,Ação,Bovespa,IMBI3,BRIMBIACNOR4,12,269250000,99850000,927000,697000,-14514000,Real,145138000,-0.097479889618,0.57009906078,0.0062259788946,0,0.0,0.0,Ernani Catalani Filho,1603300,Titulos Ao Portador,77000,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,Cbp - Companhia Brasileira de Portos S.A,96736929,Royal Transportes e Servicos Ltda,15066530,Fator Projetos e Assessorias Ltda,9000000,Rowin Gustav Von Reininghaus,3729428,Instituto Seguridade Social/Portus,244000,Titulos Ao Portador,240320,Ernani Catalani Filho,228000,-,-,-,-,-,-
Doc Imbituba,PN,84208123000102,BR,ativo,317,Atividades auxiliares ao transporte aquático,Transporte Serviç,Ação,Bovespa,IMBI4,BRIMBIACNPR1,12,269250000,99850000,927000,697000,-14514000,Real,30007000,-0.097479889618,0.57009906078,0.0062259788946,0,0.0,0.0,Ernani Catalani Filho,1603300,Titulos Ao Portador,77000,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,Cbp - Companhia Brasileira de Portos S.A,96736929,Royal Transportes e Servicos Ltda,15066530,Fator Projetos e Assessorias Ltda,9000000,Rowin Gustav Von Reininghaus,3729428,Instituto Seguridade Social/Portus,244000,Titulos Ao Portador,240320,Ernani Catalani Filho,228000,-,-,-,-,-,-
Docas,ON,33433665000148,BR,ativo,318,Administração de empresas e empreendimentos,Outros,Ação,Bovespa,DOCA3,BRDOCAACNOR6,12,499581000,-310741000,24051000,4280000,-58934000,Real,1100656,-50.847077419,-268.10112472,20.750722147,0,-,0.0,Francisco Asclepio Barroso Aguiar,5856,Jose Antonio B. G. Tourinho,5300,Clube de Investimentos Sapidu,5200,Jose Oswaldo Morales Junior,4300,-,0,-,-,-,-,-,-,-,-,-,-,Santa Maria Participacoes Ltda.,756137,Jose Oswaldo Morales Junior,2900,Jose Antonio B. G. Tourinho,1000,Francisco Asclepio Barroso Aguiar,975,-,0,-,-,-,-,-,-,-,-,-,-
Docas,PN,33433665000148,BR,ativo,318,Administração de empresas e empreendimentos,Outros,Ação,Bovespa,DOCA4,BRDOCAACNPR3,12,499581000,-310741000,24051000,4280000,-58934000,Real,58388,-50.847077419,-268.10112472,20.750722147,0,0.0,0.0,Francisco Asclepio Barroso Aguiar,5856,Jose Antonio B. G. Tourinho,5300,Clube de Investimentos Sapidu,5200,Jose Oswaldo Morales Junior,4300,-,0,-,-,-,-,-,-,-,-,-,-,Santa Maria Participacoes Ltda.,756137,Jose Oswaldo Morales Junior,2900,Jose Antonio B. G. Tourinho,1000,Francisco Asclepio Barroso Aguiar,975,-,0,-,-,-,-,-,-,-,-,-,-
Dohler,ON,84683408000103,BR,ativo,520,Indústria de roupas de tecido,Textil,Ação,Bovespa,DOHL3,BRDOHLACNOR2,12,520521000,401213000,301088000,87824000,24124000,Real,36311880,0.47836604702,7.9558098036,5.9704143742,0.18,-,6.2,C.L. Administracao de Bens Ltda,1850180,Ingo Dolher,1433860,Eagle Capital Ss Ltda.,1042320,Eldopar Participacoes Ltda,787460,Cardopar Participacoes Ltda,787460,Jmgr Participacoes Ltda.,642600,Mam Participacoes Ltda,232290,Amr Participacoes Ltda,232290,-,-,-,-,C.L. Administracao de Bens Ltda,6901300,Ingo Dolher,6728780,Eldopar Participacoes Ltda,3543620,Cardopar Participacoes Ltda,3543620,Jmgr Participacoes Ltda.,2820970,Mam Participacoes Ltda,2063270,Amr Participacoes Ltda,2063270,-,0,-,-,-,-
Dohler,PN,84683408000103,BR,ativo,520,Indústria de roupas de tecido,Textil,Ação,Bovespa,DOHL4,BRDOHLACNPR9,12,520521000,401213000,301088000,87824000,24124000,Real,14118310,0.47836604702,7.9558098036,5.9704143742,198,6.1,5.3,C.L. Administracao de Bens Ltda,1850180,Ingo Dolher,1433860,Eagle Capital Ss Ltda.,1042320,Eldopar Participacoes Ltda,787460,Cardopar Participacoes Ltda,787460,Jmgr Participacoes Ltda.,642600,Mam Participacoes Ltda,232290,Amr Participacoes Ltda,232290,-,-,-,-,C.L. Administracao de Bens Ltda,6901300,Ingo Dolher,6728780,Eldopar Participacoes Ltda,3543620,Cardopar Participacoes Ltda,3543620,Jmgr Participacoes Ltda.,2820970,Mam Participacoes Ltda,2063270,Amr Participacoes Ltda,2063270,-,0,-,-,-,-
Domus Populi,ON,11858621000127,BR,cancelado,2228,Indústria de cimento e produtos de concreto,Minerais não Met,Ação,Bovespa,DOMO3,BRDOMOACNOR6,12,1155000,566000,0,0,-700000,Real,145000000,-0.0067805689674,0.0039034482759,0,0,-,-,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ridoland do Brasil Participacoes Ltda.,123000000,Metropolis Capital Markets Gmbh,21999989,Dirk Adamski,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Douat Textil,ON,82610726000100,BR,cancelado,1136,Industria de tecidos para móveis,Textil,Ação,Bovespa,ARPS3,-,-,-,-,-,-,-,Real,7009000,-,-,-,0,-,-,Douat Cia. de Participacoes,752805000,Mario Miers,244944000,Gelio Francisco Alves,182582000,Etienne Peinoit Douat,30790000,-,-,-,-,-,-,-,-,-,-,-,-,Douat Cia. de Participacoes,6556214000,Gelio Francisco Alves,185851000,Mario Miers,94865000,Etienne Peinoit Douat,5120000,-,-,-,-,-,-,-,-,-,-,-,-
Douat Textil,PN,82610726000100,BR,cancelado,1136,Industria de tecidos para móveis,Textil,Ação,Bovespa,ARPS4,-,-,-,-,-,-,-,Real,1428000,-,-,-,0,-,-,Douat Cia. de Participacoes,752805000,Mario Miers,244944000,Gelio Francisco Alves,182582000,Etienne Peinoit Douat,30790000,-,-,-,-,-,-,-,-,-,-,-,-,Douat Cia. de Participacoes,6556214000,Gelio Francisco Alves,185851000,Mario Miers,94865000,Etienne Peinoit Douat,5120000,-,-,-,-,-,-,-,-,-,-,-,-
Dow Chemical,Com,-,US,ativo,29915,"Indústria de fibras e borracha sintéticas, resinas e filamentos",Química,"ADR,etc (emp estrang)",Bovespa,DOWB11B,BRDOWBBDR006,-,-,-,-,-,-,Dollar US,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dtcom Direct,ON,3303999000136,BR,ativo,1859,Outros tipos de escolas,Outros,Ação,Bovespa,DTCY3,BRDTCYACNOR5,12,15861000,5823000,11149000,4424000,-1393000,Real,52885000,-0.024816890656,0.10373761847,0.19862420238,0,0.0,0.0,Palmital Servicos Tecnicos e Participacoes Ltda,1080000,Ric Empreendimentos e Consultoria S/A,877500,Augustus Administracao S/A,755999,Mario Jose Gonzaga Petrelli,345000,F Mota Administracao e Empreendimentos S/A,189001,-,0,-,0,-,0,-,0,-,-,Ouro Verde Investimentos e Participacoes,12644604,Palmital Servicos Tecnicos e Participacoes Ltda,11786753,Augustus Administracao S/A,7311294,Leonardo Petrelli Neto,5511783,Ric Empreendimentos e Consultoria S/A,4335556,Mario Jose Gonzaga Petrelli,4179460,Mongeral Aegon Seguros e Previdencia S.A.,3053446,F Mota Administracao e Empreendimentos S/A,1672476,Sergio Marcos Prosdocimo,529849,-,-
Dtcom Direct,PN,3303999000136,BR,ativo,1859,Outros tipos de escolas,Outros,Ação,Bovespa,DTCY4,BRDTCYACNPR2,12,15861000,5823000,11149000,4424000,-1393000,Real,3247000,-0.024816890656,0.10373761847,0.19862420238,0,-,-,Palmital Servicos Tecnicos e Participacoes Ltda,1080000,Ric Empreendimentos e Consultoria S/A,877500,Augustus Administracao S/A,755999,Mario Jose Gonzaga Petrelli,345000,F Mota Administracao e Empreendimentos S/A,189001,-,0,-,0,-,0,-,0,-,-,Ouro Verde Investimentos e Participacoes,12644604,Palmital Servicos Tecnicos e Participacoes Ltda,11786753,Augustus Administracao S/A,7311294,Leonardo Petrelli Neto,5511783,Ric Empreendimentos e Consultoria S/A,4335556,Mario Jose Gonzaga Petrelli,4179460,Mongeral Aegon Seguros e Previdencia S.A.,3053446,F Mota Administracao e Empreendimentos S/A,1672476,Sergio Marcos Prosdocimo,529849,-,-
